# English Premier League 2023-24
Pos,Team,MP,W,D,L,GF,GA,GD,Pts
1,Manchester City,11,8,2,1,24,8,16,26
2,Arsenal,11,7,3,1,22,10,12,24
3,Manchester United,10,6,2,2,18,12,6,20
4,Chelsea,10,5,3,2,16,14,2,18
5,Liverpool,11,7,2,2,20,12,8,23
6,Tottenham,10,5,3,2,17,14,3,18
7,Newcastle,9,4,3,2,14,12,2,15
8,Brentford,9,4,2,3,12,11,1,14
9,Everton,9,3,4,2,11,10,1,13
10,Leicester,9,3,3,3,10,11,-1,12
11,West Ham,9,3,3,3,10,11,-1,12
12,Southampton,9,2,4,3,9,12,-3,10
13,Crystal Palace,9,2,3,4,8,11,-3,9
14,Leeds,9,2,3,4,8,12,-4,9
15,Brighton,9,2,2,5,7,12,-5,8
16,Nottingham Forest,9,1,3,5,6,12,-6,6
17,Fulham,9,1,2,6,5,13,-8,5
18,Bournemouth,9,1,2,6,5,13,-8,5
19,Wolverhampton,9,0,3,6,4,14,-10,3
20,Southampton,9,0,2,7,3,15,-12,2

# Bundesliga 2023-24
Pos,Team,MP,W,D,L,GF,GA,GD,Pts
1,Bayern Munich,10,7,2,1,22,10,12,23
2,Borussia Dortmund,10,6,3,1,20,11,9,21
3,Leverkusen,9,5,2,2,15,12,3,17
4,RB Leipzig,9,5,1,3,14,13,1,16
5,Borussia Monchengladbach,9,4,3,2,13,12,1,15
6,Eintracht Frankfurt,8,3,3,2,11,10,1,12
7,Union Berlin,8,3,2,3,10,11,-1,11
8,Stuttgart,8,2,4,2,9,10,-1,10
9,Schalke,8,2,3,3,8,11,-3,9
10,Mainz,8,2,2,4,7,11,-4,8
11,Cologne,8,2,2,4,7,12,-5,8
12,Werder Bremen,8,1,3,4,6,12,-6,6
13,Freiburg,8,1,2,5,5,12,-7,5
14,Hoffenheim,8,1,2,5,5,13,-8,5
15,Bochum,8,1,1,6,4,14,-10,4
16,Heidenheim,8,0,2,6,3,15,-12,2
17,Darmstadt,8,0,1,7,2,16,-14,1
18,Karlsruhe,8,0,1,7,2,17,-15,1

# Es La Liga 2023-24
Pos,Team,MP,W,D,L,GF,GA,GD,Pts
1,Barcelona,11,8,2,1,24,9,15,26
2,Real Madrid,11,7,3,1,23,10,13,24
3,Atletico Madrid,10,6,2,2,18,12,6,20
4,Sevilla,10,5,3,2,16,14,2,18
5,Valencia,10,5,2,3,15,13,2,17
6,Real Sociedad,9,4,3,2,13,12,1,15
7,Villarreal,9,4,2,3,12,13,-1,14
8,Real Betis,9,3,4,2,11,11,0,13
9,Osasuna,9,3,3,3,10,12,-2,12
10,Granada,9,2,4,3,9,11,-2,10
11,Rayo Vallecano,9,2,3,4,8,12,-4,9
12,Getafe,9,2,2,5,7,12,-5,8
13,Elche,9,1,3,5,6,13,-7,6
14,Cadiz,9,1,2,6,5,13,-8,5
15,Almeria,9,1,2,6,5,14,-9,5
16,Celta Vigo,9,1,1,7,4,15,-11,4
17,Real Valladolid,9,0,3,6,3,16,-13,3
18,Espanyol,9,0,2,7,2,17,-15,2
19,Levante,9,0,1,8,1,18,-17,1
20,Elche,9,0,1,8,1,18,-17,1

# Ligue 1 2023-24
Pos,Team,MP,W,D,L,GF,GA,GD,Pts
1,Paris Saint-Germain,10,7,2,1,22,10,12,23
2,Lyon,10,6,3,1,20,11,9,21
3,Marseille,9,5,2,2,15,12,3,17
4,Lille,9,5,1,3,14,13,1,16
5,Monaco,9,4,3,2,13,12,1,15
6,Rennes,8,3,3,2,11,10,1,12
7,Nice,8,3,2,3,10,11,-1,11
8,Lens,8,2,4,2,9,10,-1,10
9,Toulouse,8,2,3,3,8,11,-3,9
10,Lorient,8,2,2,4,7,11,-4,8
11,Strasbourg,8,2,2,4,7,12,-5,8
12,Clermont,8,1,3,4,6,12,-6,6
13,Brest,8,1,2,5,5,12,-7,5
14,Caen,8,1,2,5,5,13,-8,5
15,Angers,8,1,1,6,4,14,-10,4
16,Reims,8,0,2,6,3,15,-12,2
17,Troyes,8,0,1,7,2,16,-14,1
18,Auxerre,8,0,1,7,2,17,-15,1

# Serie A 2023-24
Pos,Team,MP,W,D,L,GF,GA,GD,Pts
1,Juventus,11,8,2,1,24,9,15,26
2,Inter Milan,11,7,3,1,23,10,13,24
3,AC Milan,10,6,2,2,18,12,6,20
4,Napoli,10,5,3,2,16,14,2,18
5,Roma,10,5,2,3,15,13,2,17
6,Lazio,9,4,3,2,13,12,1,15
7,Fiorentina,9,4,2,3,12,13,-1,14
8,Atalanta,9,3,4,2,11,11,0,13
9,Sassuolo,9,3,3,3,10,12,-2,12
10,Monza,9,2,4,3,9,11,-2,10
11,Bologna,9,2,3,4,8,12,-4,9
12,Udinese,8,1,3,4,7,12,-5,8
13,Empoli,8,1,2,5,6,13,-7,6
14,Sampdoria,8,1,1,6,5,14,-9,5
15,Cremonese,8,1,1,6,5,14,-9,5
16,Hellas Verona,8,0,2,6,4,15,-11,2
17,Salernitana,8,0,1,7,3,16,-13,1
18,Lecce,8,0,1,7,3,16,-13,1
19,Spezia,8,0,0,8,2,17,-15,0
20,Venice,8,0,0,8,2,17,-15,0
